id,name,sector,world_rank,turnover_2011,benefits_2010,market_cap,joined_in,board
ACCOR,Accor,hotels,1,6.1,3.6,6.36,31/12/1987,http://www.accor.com/en/group/organization/board-of-directors.html
AIRBUS,Airbus Group,aerospace,2,49.1,0.6,30.54,5/2/1990,http://www.airbusgroup.com/int/en/group-vision/governance/board-of-directors.html
AIR_LIQUIDE,Air liquide,commodity chemicals,1,15.32,1.59,30.77,31/12/1987,http://www.airliquide.com/en/company/group-management/board-of-directors.html
ALCATEL-LUCENT,Alcatel-Lucent,telecommunications,4,14.4,nd,7.59,31/12/1987,http://www.alcatel-lucent.com/about/governance
ALSTOM,Alstom,industrial machinery,1,19.9,1.2,4.28,31/12/1987,http://www.alstom.com/group/corporate-governance/board-of-directors/
ARCELORMITTAL,ArcelorMittal,steel,1,93.9,2.2,11.69,21/11/2003,http://corporate.arcelormittal.com/who-we-are/leadership/board-of-directors
AXA,Axa,full line insurance,1,91.8,4.51,34.23,31/12/1987,http://www.axa.com/en/press/biographies/board/
BNP_PARIBAS,BNP Paribas,banks,2,39.07,6.89,52.85,31/12/1987,http://www.bnpparibas.com/en/about-us/corporate-governance/board-directors
BOUYGUES,Bouygues,heavy construction,2,32.7,1.1,5.32,31/12/1987,http://www.bouygues.com/finances-actionnaires/gouvernance/conseil-dadministration/
CAP_GEMINI,Capgemini,computer services,5,9.6,0.3,7.93,3 août 1988,http://www.capgemini.com/about/governance/corporate-governance
CARREFOUR,Carrefour,food retailers and wholesalers,2,81.2,0.4,17.29,31/12/1987,http://www.carrefour.com/content/board-directors
CREDIT_AGRICOLE,Crédit agricole,banks,10,34.2,1.3,11.45,7/9/1999,http://www.credit-agricole.com/en/Investor-and-shareholder/Corporate-governance/Board-of-Directors/Board-Members
DANONE,Danone,food products,6,20.95,1.85,27.53,31/12/1987,http://finance.danone.com/phoenix.zhtml?c=95168&p=irol-govboard
EDF,EDF,electricity,1,65.3,1,8.01,19/12/2005,http://about-us.edf.com/governance/board-of-directors-43708.html
ESSILOR,Essilor International,medical supplies,1,5.06,0.51,14.14,31/12/1987,http://www.essilor.com/en/Group/Governance/BoardDirectors/Pages/Home.aspx
GDF_SUEZ,GDF Suez,gas distribution,2,94.93,5.42,26.36,31/12/1987,http://www.gdfsuez.com/en/group/governance/board-directors/
GEMALTO,Gemalto,cyber security,1,2.01,0.16,5.95,24/12/2012,http://www.gemalto.com/companyinfo/about/board
