id	name	surname	birth_date	nationality	birthplace	sex	school	description	picture	biography
JEAN_PAUL_AGON	Agon	Jean-Paul	6/7/1956	France	Boulogne-Billancourt	M	HEC	Jean-Paul Agon  né à Boulogne-Billancourt (France) le 6 juillet 1956  est un chef d'entreprise français  PDG du Groupe L'Oréal depuis le 17 mars 20112.	http://www.journaldunet.com/management/dossiers/0711213-formation-patrons-cac-40/diaporama/images/jean-paul-agon.jpg	http://fr.wikipedia.org/wiki/Jean-Paul_Agon
PHILIPPE_ALFROID	Alfroid	Philippe		France		M		Philippe Alfroid était Directeur général délégué d’Essilor jusqu’à son départ en retraite en juin 2009. Il commence sa carrière chez PSDI à Boston avant de rejoindre le groupe Essilor en 1972. Il assume différentes responsabilités de direction opérationnelle dont la Direction du pôle lentilles de contact et montures. En 1987  il devient Directeur du contrôle de gestion du groupe puis Directeur financier en 1991. Il est nommé Directeur général délégué du groupe en 1996.		http://www.essilor.com/fr/Groupe/Gouvernance/ConseilAdministration/Pages/PhilippeAlfroid.aspx
OLIVIER_APPERT	Appert	Olivier	9/4/1949	France	Paris	M	École polytechnique fédérale de Lausanne	Olivier Pierre Camille Appert  né le 9 avril 1949 à Paris est un membre du Corps des ingénieurs des mines français. Il a occupé des fonctions de direction dans des administrations et des entreprises  essentiellement dans le domaine de l'énergie.	http://images.lesechos.sdv.fr/archives/2010/LesEchos/20815/ECH20815515_1.jpg	http://fr.wikipedia.org/wiki/Olivier_Appert
BERNARD_ARNAUD	Arnaud	Bernard	5/3/1949	France	Roubaix	M	École polytechnique	Bernard Jean Étienne Arnault (French: [bɛʁnaːʁ aʁno]; born 5 March 1949) is a French businessman and an art collector. He is the chairman and Chief Executive Officer of LVMH since 1989.	http://img.timeinc.net/time/time100/2007/images/bernard_arnault.jpg	http://en.wikipedia.org/wiki/Bernard_Arnault
JACQUES_ASCHENBROICH	Aschenbroich	Jacques		France		M	Ecole Normale Supérieure	Pascal Colombani is Chairman of the Board of Directors of Valeo and Senior Advisor for innovation  high technology and energy at the A.T. Kearney strategic consultancy firm.	http://www.valeo.com/cws-content/www.valeo.com/medias/images/groupe/fr/gouvernance/colombani_400.jpg	http://www.valeo.com/en/the-group/governance/pascal-colombani.html
MARC_AUBRY	Aubry	Marc		France		M	École Nationale Supérieure d'Hydraulique et de Mécanique 		http://www.safran-na.com/IMG/jpg/SAFRAN_RA_2011_FR-4-8.jpg	
DAVID_AZEMA	Azema	David	22/11/1960	France	Neuilly-sur-Seine	M	ENA		http://www.ouestfrance-emploi.com/sites/default/files/styles/610-largeur/public/david_azema.jpg?itok=Mnn-78ik	http://www.lopinion.fr/6-juin-2014/david-azema-talent-a-grande-vitesse-13099
PATRICIA_BARBIZET	Barbizet	Patricia	17/04/1955	France	Paris	F	ESCP	Patricia Barbizet  née Dussart le 17 avril 1955 (59 ans)  est une personnalité française du monde des affaires : Elle est directrice générale d’Artémis depuis 1992  vice-présidente du conseil d'administration de Kering et présidente du conseil de surveillance de Christie’s.	http://www.tendancesinstitut.fr/sites/default/files/styles/membre-ajax/public/photo-patricia.jpg	http://fr.wikipedia.org/wiki/Patricia_Barbizet
OLIVIER_BAZIL	Bazil	Olivier		France		M		Mr. Olivier Bazil serves as a Manager (Gérant) of Rhein Vermogensverwaltung (Germany). Mr. Bazil served as the Vice-Chairman and Chief Operating Officer of Legrand from May 22  2008 to May 26  2011. He served as Vice Chairman and Chief Operating Officer at TCL Building Technology (Huizhou) Co.  Ltd since May 22  2008. He was the Vice Chairman and Chief Operating Officer at Legrand France SA since May 22  2000 to 2011. He served as Deputy Chief Executive Officer of Legrand ...		
SEBASTIEN_BAZIN	Bazin	Sébastien	9/11/1961	France	Boulogne-Billancourt	M	Paris-Sorbonne	Sébastien Bazin  né le 9 novembre 1961 à Boulogne-Billancourt (Hauts-de-Seine)  est un homme d'affaires français et actuel PDG de l'opérateur hôtelier Accor.		http://fr.wikipedia.org/wiki/S%C3%A9bastien_Bazin
NICOLAS_BAZIRE	Bazire	Nicolas	13/07/1957	France	Fort-de-France	M	Sciences Po Paris	Nicolas Bazire  né le 13 juillet 1957 à Fort-de-France  est un homme d'affaires français  et un ancien haut fonctionnaire.	http://cache.20minutes.fr/img/photos/20mn/2011-09/2011-09-22/article_Bazire.jpg	http://fr.wikipedia.org/wiki/Nicolas_Bazire
DANIEL_BERNARD	Bernard	Daniel	18/02/1946	France	Cateau-Cambrésis	M	HEC	Daniel Bernard was the dynamic leader of Carrefour  the French general-merchandise chain and grocery retailer that was the second largest such company in the world  behind Wal-Mart. The group operated hypermarkets (sprawling stores with broad varieties of products and services)  supermarkets  "hard discounters" (small specialty stores)  convenience stores  cash-and-carry wholesale operations  and food services. The first three of the aforementioned outlets were Carrefour's primary focus and were prevalent in Asia  Latin America  and Europe. Carrefour invented the superstore in the 1970s and had become a rival to Wal-Mart in many regions of the world by the beginning of the 21st century.	http://www.web-libre.org/medias/img/articles/b11c3e3aaf3cfe496174ecc31a3c04d0-2.jpg	http://fr.wikipedia.org/wiki/Daniel_Bernard_(homme_d'affaires)
GIOVANNI_BISIGNANI	Bisignani	Giovanni		Italie	Roma	M	Sapienza University of Rome - Harvard Business School	Giovanni Bisignani (born 1946) is an Italian businessman  who was Director General and Chief Executive Officer of the International Air Transport Association from 2002 to 2011.	http://nicholaskralev.com/wp-content/uploads/2010/03/IATA.jpg	http://en.wikipedia.org/wiki/Giovanni_Bisignani
GERARD_BLANC	Blanc	Gérard		France		M	Mines ParisTech	Jacques Aschenbroich  an engineering graduate of the École des mines  held several positions in the French administration and served in the Prime Minister’s office in 1987 and 1988. 	http://www.valeo.com/cws-content/www.valeo.com/medias/images/groupe/fr/gouvernance/aschenbroich.jpg	http://www.valeo.com/en/the-group/governance/jacques-aschenbroich.html
JEAN_LAURENT_BONNAFE	Bonnafe	Jean Laurent	14/07/1961	France	Albi	M	École polytechnique	Jean-Laurent Bonnafé  né le 14 juillet 1961 à Albi  est un membre du Corps des ingénieurs des mines français  administrateur-directeur-général du groupe BNP Paribas depuis le 1er décembre 2011.	http://www.valeursactuelles.com/sites/default/files/styles/va-article/public/jean-laurent_bonnafe_sipa.jpg?itok=5zA0j_Go	http://fr.wikipedia.org/wiki/Jean-Laurent_Bonnaf%C3%A9
