from,to,relationships
ALBERT_FRERE,GDF_SUEZ,IS_DIRECTOR_OF
ALBERT_FRERE,LVMH,IS_DIRECTOR_OF
ALEXANDRA_SCHAAPVELD,SOCIETE_GENERALE,IS_DIRECTOR_OF
AMAURY_DE_SEZE,CARREFOUR,IS_DIRECTOR_OF
AMAURY_DE_SEZE,PUBLICIS,IS_DIRECTOR_OF
ANNE_LAUVERGEON,AIRBUS,IS_DIRECTOR_OF
ANNE_LAUVERGEON,TOTAL,IS_DIRECTOR_OF
ANNE_MARIE_IDRAC,BOUYGUES,IS_DIRECTOR_OF
ANNE_MARIE_IDRAC,SAINT_GOBAIN,IS_DIRECTOR_OF
ANNE_MARIE_IDRAC,TOTAL,IS_DIRECTOR_OF
BAUDOUIN_PROT,BNP_PARIBAS,IS_DIRECTOR_OF
BAUDOUIN_PROT,KERING,IS_DIRECTOR_OF
BAUDOUIN_PROT,LAFARGE,IS_DIRECTOR_OF
BAUDOUIN_PROT,VEOLIA_ENVIRONNEMENT,IS_DIRECTOR_OF
BENOIT_POTIER,DANONE,IS_DIRECTOR_OF
BENOIT_POTIER,AIR_LIQUIDE,IS_DIRECTOR_OF
BERNARD_ARNAUD,CARREFOUR,IS_DIRECTOR_OF
BERNARD_ARNAUD,LVMH,IS_DIRECTOR_OF
BERNARD_HOURS,DANONE,IS_DIRECTOR_OF
BERNARD_HOURS,ESSILOR,IS_DIRECTOR_OF
BRUNO_LAFONT,EDF,IS_DIRECTOR_OF
BRUNO_LAFONT,ARCELORMITTAL,IS_DIRECTOR_OF
BRUNO_LAFONT,LAFARGE,IS_DIRECTOR_OF
CHARLES_DE_CROISSET,RENAULT,IS_DIRECTOR_OF
CHARLES_DE_CROISSET,LVMH,IS_DIRECTOR_OF
CHARLES_HENRI_FILIPPI,L_OREAL,IS_DIRECTOR_OF
CHARLES_HENRI_FILIPPI,ORANGE,IS_DIRECTOR_OF
COLETTE_LEWINER,BOUYGUES,IS_DIRECTOR_OF
DANIEL_BERNARD,CAP_GEMINI,IS_DIRECTOR_OF
DAVID_AZEMA,RENAULT,IS_DIRECTOR_OF
DENIS_RANQUE,SAINT_GOBAIN,IS_DIRECTOR_OF
DENIS_RANQUE,AIRBUS,IS_DIRECTOR_OF
FRANCK_RIBOUD,DANONE,IS_DIRECTOR_OF
