node,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,community_leiden,views,partner,mature,days,clustering_coef
1773,0.10105263157894737,0.4088718007574888,0.1267671290373342,0.23633125034759322,4,89506813,True,False,2784,0.0036470406428681813
4949,0.09698245614035086,0.41635014316601415,0.11817297351037323,0.2766139119677663,3,46682923,True,False,2632,0.006384362088131043
3401,0.06526315789473684,0.3985791004699038,0.06731818713363985,0.15800371607960687,0,20253246,True,True,2959,0.007730812013348165
6136,0.053052631578947365,0.3615283133752791,0.0373696822989486,0.11099767488353467,0,178500544,True,False,2443,0.0038875556116935426
166,0.049403508771929824,0.35431896165895865,0.03671649359635466,0.07568772331384274,2,20516537,True,False,1736,0.01846995596995597
5842,0.0471578947368421,0.3952623987573505,0.046398599727166014,0.15932481791200792,1,7448777,True,False,3556,0.016595593461265105
1924,0.04435087719298245,0.3875231154139019,0.037065818453528986,0.14462170853709816,0,15814669,True,False,1651,0.014627285513361463
2732,0.03901754385964912,0.3620610803394481,0.02502442500290993,0.09698718020217865,3,3733303,True,True,2234,0.013453497130093759
2447,0.038175438596491224,0.39111818630949113,0.03320420573262955,0.13315537113819528,2,32861608,True,True,3820,0.019264163229867595
1103,0.03564912280701754,0.3574833174451859,0.019591311474417894,0.08522294077967729,0,18117017,True,True,2164,0.008807693504715072
581,0.03536842105263158,0.3579862332311712,0.02450598203267532,0.08071498004921783,0,19383016,True,False,1145,0.005217226332764181
4196,0.03242105263157895,0.36673872760963555,0.019397391017671912,0.11027739918969445,1,717298,True,True,1523,0.02917372482589874
4016,0.031719298245614036,0.3728024277940561,0.021888253188574895,0.09962145129397747,0,30977250,True,True,2351,0.015732546705998034
3706,0.027929824561403506,0.3423012250780687,0.020334247784840272,0.04603628556950279,2,74201622,True,False,1703,0.006091061367443277
2740,0.027087719298245612,0.3744481816270759,0.01492137224110053,0.10277035988223204,0,13481914,True,False,2478,0.028605354058721933
2481,0.026105263157894736,0.3304730983302412,0.010727667338331347,0.038093503945062654,2,14914146,True,False,2747,0.03586166811973263
3285,0.02568421052631579,0.3680268595041322,0.0130367520624302,0.08328891310670371,4,7882063,True,False,3093,0.022218218939530417
4406,0.025543859649122806,0.34286126750396995,0.011659905523937492,0.058339259865567386,0,28680584,True,False,1956,0.007831947058466395
1598,0.023438596491228068,0.35072606448437116,0.01732368378099919,0.04844475734624785,10,29971672,True,True,1847,0.0067094726210230144
2345,0.023438596491228068,0.3749605304704768,0.014903918331128536,0.09378793471395146,1,12825,False,True,1640,0.06182815092706154
6716,0.02175438596491228,0.37746344564526385,0.01323642128849495,0.10630166399588971,1,971621,True,False,1491,0.05018852115626309
93,0.021614035087719297,0.36611684908278097,0.015533047949235072,0.07094272540160781,3,2499056,True,True,2621,0.02707749766573296
1883,0.02119298245614035,0.3549721004384217,0.01090547813759201,0.059334632338188545,0,34356681,True,False,2086,0.015099337748344372
2466,0.021052631578947368,0.35324739712444225,0.009668377435169727,0.06632690443866156,0,6613988,True,False,1834,0.02022371364653244
5269,0.02063157894736842,0.3544423440453686,0.0104133733588079,0.060595705286664525,0,16346337,True,True,2116,0.023576553909234927
792,0.02049122807017544,0.3836420417833297,0.012580226987140406,0.10372859148298993,1,526969,True,True,1395,0.05772319319792159
3902,0.02049122807017544,0.34392045180286723,0.009361874705796998,0.04503789997737603,4,6873536,True,True,2836,0.010581010864430798
5945,0.01964912280701754,0.35093335960202926,0.005490448722155954,0.06033335562294649,4,1179530,True,False,2489,0.027029804727646455
2352,0.019228070175438594,0.36294636034842853,0.010270098826231377,0.0672614606192724,7,1412421,True,True,1177,0.04390296264491198
2997,0.01894736842105263,0.37553365308596426,0.016297499597367218,0.057889582086203546,6,3797900,True,False,1823,0.03449419568822554
2887,0.018807017543859647,0.35692816351067025,0.010443256939587536,0.06849517882270496,1,743579,True,True,948,0.0410728313320615
5345,0.018245614035087718,0.33790192544816466,0.008103467212793904,0.038750916325557765,2,7011496,True,False,2154,0.024686940966010734
24,0.01712280701754386,0.35676731260327477,0.007668524915660667,0.07643373779804441,1,849929,True,False,1654,0.05039967484080748
5428,0.01712280701754386,0.34565565419880656,0.006836522003178207,0.05486377501244951,0,24316020,True,False,4161,0.027638531364313778
2781,0.016982456140350877,0.3506052553882492,0.00791891093429244,0.05226981109735295,0,18056152,True,False,2794,0.01487603305785124
1059,0.016982456140350877,0.34649613383261196,0.007243367227460029,0.04639464804258273,7,1358904,True,True,2231,0.03980716253443526
4639,0.016140350877192983,0.35495441638021225,0.011616536405097808,0.04556495462295927,9,1719682,True,True,1392,0.02303585049580473
1414,0.015859649122807018,0.3573219658976931,0.009342109848973915,0.053960948294978175,6,2488519,True,True,1397,0.03302781289506953
1869,0.015719298245614036,0.36704100556356895,0.00881589500421914,0.0704602914846654,1,488224,True,True,1921,0.04295366795366795
5969,0.015157894736842105,0.36647464252648904,0.009234386964128934,0.07452912328655809,6,2805793,True,False,1747,0.05711318795430945
2845,0.01487719298245614,0.3649354640442532,0.006259478379045286,0.07358347669430577,1,963402,True,False,1402,0.07187780772686433
3867,0.014596491228070173,0.3361166147749788,0.005753374587288641,0.039699448727193276,3,929599,True,False,1355,0.04686333084391337
2026,0.014456140350877191,0.353124845120682,0.0049796339209900375,0.058187876385268206,3,1055301,True,False,2080,0.051018465638682654
877,0.014456140350877191,0.3599757490021725,0.007252117128690099,0.05461831324209165,1,22060,False,True,795,0.07062630877593756
4374,0.014315789473684209,0.3518171044835078,0.009046648544935192,0.04445941647012633,6,926412,True,False,1556,0.062123859444768004
2201,0.014315789473684209,0.3228510580452218,0.007233006324060651,0.0241303894657064,7,31417100,True,False,2338,0.009706853038245
4076,0.014175438596491226,0.3371344752531466,0.0054294208268693385,0.039929178648735054,1,1311110,True,False,2001,0.01405940594059406
2262,0.014175438596491226,0.3292209592459107,0.0046920388330854565,0.02857287645909411,2,4932901,True,True,2693,0.05148514851485148
675,0.014035087719298244,0.3331151526485577,0.0033755774315297367,0.03471342683041504,1,109386,False,True,1208,0.0802020202020202
5569,0.014035087719298244,0.34014417338998426,0.0031565355015158543,0.05849101359427172,1,124929,False,True,1113,0.09353535353535354
2825,0.013894736842105262,0.3242763517203714,0.004030455441023795,0.025786201748659688,2,1238416,True,False,2633,0.06163677592249021
6357,0.01375438596491228,0.35246104377937176,0.005940817773532437,0.05939959293091032,1,1048031,True,True,1494,0.040395539659162635
485,0.013614035087719297,0.3211484720093753,0.004817745230034405,0.023344503469543986,2,3761906,True,False,3301,0.05777491408934708
5338,0.013052631578947368,0.34510316768381283,0.004684462357096533,0.046185822690994305,1,25226,False,True,1171,0.08648901355773726
372,0.013052631578947368,0.3667009778692743,0.006154918190252604,0.06609290017206065,1,89261,False,True,1145,0.065684899485741
2928,0.013052631578947368,0.34029038112522686,0.004659413306123328,0.041282100711100105,3,516980,True,True,1438,0.040439457690509585
4444,0.012771929824561403,0.34832559276460523,0.006925970226396687,0.04055651006113354,6,973042,True,True,2387,0.04884004884004884
2719,0.012771929824561403,0.35405485986881335,0.005936877630049304,0.04988994099170371,6,215707,True,True,3263,0.07765567765567766
26,0.012771929824561403,0.359285966416217,0.004389432798990746,0.06697393943126903,1,348066,True,True,1362,0.07374847374847375
4140,0.012771929824561403,0.30939250510226235,0.0036868568916694437,0.017885554798948513,2,9301847,True,True,2504,0.011477411477411478
1812,0.01263157894736842,0.3557697108902981,0.003058651364817913,0.0680583194849756,1,200376,False,False,1160,0.0933832709113608
2529,0.01263157894736842,0.3424492934730366,0.005132359788836465,0.040380124832947284,1,37607,False,True,2226,0.06267166042446941
4242,0.01207017543859649,0.3324623209369605,0.0036793600023977357,0.03489464476400737,1,8253,False,True,646,0.08481532147742818
2779,0.011929824561403507,0.33513640639698966,0.0067103857648797925,0.028622873792308944,2,1276323,True,False,1564,0.026330532212885154
5138,0.011649122807017543,0.3592316224664717,0.005786260304999861,0.052491428244068467,6,1414855,True,True,1404,0.043491037320011756
932,0.011649122807017543,0.3368316550843852,0.0021654473879915252,0.047662614516850284,1,51847,False,True,1390,0.13223626212165737
6056,0.01150877192982456,0.33229176382800113,0.004044840193571785,0.03339951886989071,3,3153075,True,False,1511,0.025594700391448358
5802,0.01150877192982456,0.3515393724097099,0.004570096295341681,0.05453799466103923,1,1306775,True,True,2205,0.06413730803974707
2439,0.011368421052631578,0.3526703954858189,0.0036605914861105914,0.05198925900373471,3,871031,True,True,1593,0.06111111111111111
3577,0.011368421052631578,0.3267749036873968,0.003751748591105245,0.025671172035498152,1,6232,False,False,712,0.05123456790123457
1169,0.011228070175438596,0.3284772486284634,0.00475705059841211,0.02236917715783618,2,1574449,True,True,3075,0.019620253164556962
1402,0.011228070175438596,0.3298458404703486,0.0036383466367480672,0.030320354390435345,7,421698,True,True,1498,0.06835443037974684
2106,0.011228070175438596,0.35185185185185186,0.004694598809049069,0.05045104184798806,7,240523,True,True,1996,0.07246835443037974
178,0.011087719298245613,0.35003684598378776,0.007262073922423185,0.031162488685561148,6,1737497,True,False,1116,0.0311587147030185
4087,0.010947368421052631,0.32183025430236234,0.0032952740488172523,0.024615969356379608,3,1562926,True,False,546,0.015318015318015318
6074,0.010526315789473684,0.3248677731169068,0.0030916672853158076,0.02103711175893244,5,8901,False,True,1930,0.04504504504504504
