node,degree,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,community_leiden,views,partner,mature,days,clustering_coef
2161,2040,0.31154551007941356,0.5737317094541312,0.10028584081459391,0.21457497127763708,1,44374644,True,True,2027,0.01450682283703084
771,1695,0.25885766646304215,0.5465776293823038,0.07585984643181551,0.1649501323498347,2,17166188,True,False,2419,0.016076870300522753
5968,1666,0.2544288332315211,0.5449400798934754,0.060976034420697045,0.17562916003200904,1,42801507,True,False,610,0.014080587189830887
5511,1500,0.22907758094074526,0.5297306043200388,0.057994675708349486,0.14689308004752588,1,44534929,True,False,2613,0.014472759617522793
5543,1216,0.1857055589492975,0.5153470801196285,0.03754943799629037,0.12355282071850253,1,4890741,True,False,1783,0.013790069309075156
6420,1200,0.1832620647525962,0.5248897795591182,0.04063797234561015,0.12985402539158816,2,62713570,True,False,1311,0.01834306366416458
1020,1196,0.1826511912034209,0.511123253454063,0.037381983062042254,0.1223423488025992,3,22400233,True,True,2480,0.01599613775345993
5310,1153,0.1760843005497862,0.5245113745594361,0.030582102081673654,0.15099673251101622,3,9194058,True,True,2853,0.031081357810542547
2650,1092,0.16676847892486255,0.5139717425431711,0.025489522640352962,0.1266887395356223,1,5875963,True,False,1261,0.021098363903130173
4717,1066,0.16279780085522297,0.4994660564454615,0.025422227268139436,0.10775228757062497,1,9563377,True,False,2312,0.013610619313127043
2560,1065,0.16264508246792914,0.5070858824440486,0.03750937512166365,0.0989601883195065,2,5760863,True,False,3530,0.014746372974690248
2043,805,0.1229383017715333,0.4954975406734771,0.01788817584014939,0.09006962013261903,1,1075962,True,False,746,0.021587713605883626
5208,756,0.11545510079413562,0.5044295508820584,0.017003694265184346,0.10170320901251248,0,2541300,True,True,2064,0.038859105084270644
2367,753,0.11499694563225413,0.4793206939462704,0.014754048767825967,0.08193522512698592,3,4770793,True,False,1299,0.0166497132039219
1751,750,0.11453879047037263,0.4898630956833994,0.011363030065027464,0.0943743110772807,1,38404078,True,False,2075,0.026207387627948376
3857,695,0.10613927916921198,0.4830333431690764,0.00867872452839258,0.08110176158853594,1,3234259,True,False,1261,0.0232579354383928
3935,686,0.1047648136835675,0.45931537598204264,0.01150464333851762,0.06501772522841234,2,10072725,True,False,723,0.023204443404056096
612,681,0.10400122174709836,0.4833899306068212,0.012548821631858232,0.08003394043008488,3,10736104,True,False,2015,0.02899283061242118
3459,658,0.10048869883934027,0.4729163657373971,0.012869455539539975,0.07002272853539995,1,108432615,True,False,1479,0.019911821718875056
1284,619,0.09453268173488089,0.4826061320754717,0.007336611014225425,0.08360817090242005,1,4592052,True,False,2335,0.03876175687898322
3550,611,0.09331093463653024,0.4772246920778369,0.012393179323941975,0.06282333290263274,2,5494018,True,False,2607,0.026835877760188885
6148,594,0.09071472205253513,0.47764242468451384,0.009687217348077284,0.07612506565256406,1,4109573,True,False,2027,0.02984311921917318
1025,591,0.09025656689065364,0.45124388395010684,0.011776592300796434,0.05109536001637666,2,502677,True,False,1531,0.01600848891565574
5554,567,0.08659132559560172,0.48532463682182037,0.01393528202900184,0.06699854440137187,1,7941991,True,False,1205,0.02757679436124666
1824,566,0.08643860720830789,0.47274565013356434,0.006395133704364438,0.07138934990031551,3,6320764,True,True,2347,0.03379092529472466
77,566,0.08643860720830789,0.4463226773907709,0.012332917690210337,0.049944896471542016,0,1265401,False,False,766,0.017555270646361674
2799,561,0.08567501527183873,0.47019962659773085,0.006340206667811729,0.07394455334757385,1,43059742,True,False,386,0.035122230710466
6271,535,0.08170433720219915,0.4720980533525595,0.010195292559883669,0.05568734896422701,2,1478440,True,False,2055,0.04258461969267388
3917,518,0.07910812461820403,0.47813070463672874,0.006215496180569346,0.07286689224370528,3,3311670,True,True,2899,0.04556283279687535
4453,512,0.07819181429444105,0.4797772567409144,0.005978233965179849,0.06989101186532651,1,4438548,True,False,1503,0.0421508072407045
