node,degree,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,pagerank_centrality,views,partner,mature,days,clustering_coef
7787,4178,0.45104177912123505,0.6278133789593673,0.2908174507064092,0.2502395236060492,0.01457037807920412,54516100,True,False,3056,0.0066480222394560105
9206,1796,0.19388966857389614,0.5221014155906155,0.0800423169610283,0.1031069514497625,0.0069061831101741,70620803,True,False,1884,0.007257849383650452
2684,1685,0.1819065097700529,0.5217180595667421,0.041642965704807515,0.13492624442182669,0.00517912578424628,16374430,True,True,2752,0.0160188050212508
1638,1406,0.15178667818201447,0.5069157197140364,0.03096271493069786,0.12100724886548805,0.004265854255417997,15299339,True,True,2230,0.019680778362179373
2914,1334,0.14401381841735938,0.5069435401256336,0.027039901940531023,0.12068461879178197,0.003997425846364532,2678695,True,False,1506,0.020350664877613705
2816,1311,0.14153082154809457,0.5057500133940632,0.020354423818788853,0.13249995647042845,0.0036840223392392854,14454745,True,False,2053,0.0278174693288149
8803,1293,0.13958760660693081,0.4944605880107687,0.022303248115691888,0.11199091808359739,0.003837456045926119,8753527,True,True,1946,0.019276217019962218
5893,1241,0.1339738745546799,0.5062489446798843,0.01790219056264805,0.13882925685840172,0.0033404090258814904,4445133,True,True,1549,0.03455459956850615
4927,1229,0.1326783979272374,0.5034620507237789,0.01914274536028818,0.12684383996037835,0.00342658673594914,15488218,True,True,1857,0.028514218015759218
8262,1103,0.11907589333909101,0.48049408263780535,0.017888228629092187,0.09714589433171349,0.003238548798565516,7826793,True,True,1958,0.022155382202967325
6652,1002,0.10817229839144986,0.4864917177347222,0.010336488534961217,0.10764484664696078,0.002746138930425707,6541485,True,True,1477,0.031910205562900175
2145,999,0.10784842923458923,0.48674807633604733,0.014763844295235735,0.07821087904594941,0.0031577060057039843,14475068,True,False,2727,0.013568678899340223
7275,964,0.1040699557378819,0.4758896571163921,0.008825527414511817,0.07492959811282947,0.002926873491300031,1236343,True,True,2232,0.01591456504784926
9057,960,0.10363813019540107,0.4891711192410724,0.010189302894691967,0.11225420324997971,0.002600770669693259,8293504,True,True,2396,0.039622436565867225
8753,934,0.10083126416927561,0.46731853913938937,0.019832199752379192,0.05090229561719433,0.0032124950287500324,100394785,True,False,2065,0.010245323161453348
2498,917,0.09899600561373205,0.4703884628318567,0.014597569833674006,0.06360711388578319,0.0028576715995816925,28609290,True,False,2186,0.013086150490730643
4038,915,0.09878009284249163,0.49271980821620365,0.01285899192427323,0.10334932902385612,0.0025486187893102026,5940739,True,False,2209,0.03889945116045485
2980,875,0.09446183741768326,0.46494278172996273,0.012876406390442756,0.07811435655076204,0.0026003484672320245,3075489,False,True,1307,0.020375286041189933
1276,865,0.09338227356148117,0.4787508160375853,0.007879426476595173,0.09132634932959864,0.002364967441895944,8108876,True,True,2394,0.03466334831941768
3173,811,0.08755262873798986,0.4876732086283285,0.0075160150947519684,0.096183058496939,0.0022114941995587194,2626579,True,True,1994,0.041031495943127674
8810,796,0.08593328295368671,0.47991989632821586,0.010330477915701904,0.07739565285598488,0.0023137195610185286,4478484,True,True,1262,0.03067538952624759
7720,743,0.08021159451581561,0.4435329993579742,0.010911021484319642,0.05006489421494716,0.002366360476082668,3578881,True,False,1794,0.011296811571069425
4139,720,0.0777285976465508,0.46836113196578294,0.0055715797644074515,0.07917218438243219,0.001965948381189578,3646452,True,True,1575,0.04024880234894143
8287,715,0.07718881571844975,0.4756690995740857,0.006097284383734498,0.09377537822381331,0.0018453824965351405,1442119,True,True,1628,0.062247556365203426
7913,654,0.07060347619561697,0.4495993304759878,0.0073402411386915695,0.05889938611398865,0.0019081230247010768,5448573,True,False,2451,0.024881633111819828
1901,638,0.06887617402569363,0.46510665884336205,0.006294536875913905,0.07618967408223051,0.0017451788823799274,7948843,True,True,1762,0.047430402110205064
8614,637,0.06876821764007342,0.4712043179426195,0.009743896321142755,0.05386883279884581,0.0019684857535458102,13466529,True,False,1805,0.029402762556401372
8700,635,0.06855230486883299,0.4742526181973184,0.0068836573073705505,0.07168746285675444,0.0018156026788631442,3884288,True,False,1920,0.04110882038798778
9227,634,0.06844434848321278,0.4451360534253371,0.003445013557082661,0.06918313099862916,0.0017011378116264532,1858780,False,True,2342,0.03216868250432321
4912,580,0.06261470365972148,0.47456937138456484,0.008544912751916238,0.05063772974408438,0.001812203076284319,5848441,True,True,2380,0.027091894467274134
7286,568,0.06131922703227896,0.4603777035800025,0.00344150505445492,0.04349205780890732,0.0017694328271422978,1252170,True,False,2193,0.022399831085277093
6989,563,0.06077944510417791,0.4736203786406794,0.003993645384317326,0.08052409250845216,0.0014669187876026244,2107498,True,True,1676,0.07410731781318938
5358,536,0.05786462269243226,0.4632638670258875,0.007198342668180488,0.04117357761973019,0.0017672607690431962,2638320,True,False,1683,0.017380387780722557
8301,534,0.05764870992119184,0.46484918950375775,0.003832847149072477,0.07295558898750532,0.0014292608161523973,1437288,True,True,934,0.0645136356290097
4042,534,0.05764870992119184,0.45419768130152777,0.006136529004001524,0.03761188779653898,0.0016797250208066424,13583296,True,False,2099,0.023561073985847898
3032,526,0.05678505883623016,0.4471616519644271,0.0023979232227163577,0.042694638150000803,0.001590576144169215,1424650,True,True,1751,0.02324823465507876
7900,509,0.054949800280686606,0.46447519709504553,0.004131404960880995,0.062388003487691274,0.001397680937075996,2035347,True,True,993,0.055736893399130606
721,504,0.054410018352585555,0.46661033767575116,0.0032136523235381667,0.066138005450321,0.0013736047051554636,3441835,True,True,2455,0.061953674776736405
4008,490,0.05289862895390263,0.4657633241543551,0.0038199962984222665,0.05929616534681883,0.001343025152117038,1738128,True,True,2218,0.051091356788114016
5388,480,0.05181906509770053,0.4694799616075817,0.003449913215826109,0.0716881974367153,0.0012636733924078724,2550221,True,True,1485,0.08351600556715379
