node,degree,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,pagerank_centrality,clustering_coef,louvain_community,lp_community,id,days,mature,views,partner,new_id,username,created_at,profile_pic,broadcaster_type,game_name,day_of_year,is_leap,days_in_year,normalized_day,sin_created_at,cos_created_at
2299,7,0.0009824561403508,0.3031269942565411,0.0004338570354062,0.0090848350490563,0.000122829600997,0.1428571428571428,19,0,73045350,3714,False,9528,False,2299,CaptainTeabeard,2014-10-14,https://static-cdn.jtvnw.net/jtv_user_pictures/a2565011-3ad9-46cc-9c34-6da8840cd110-profile_image-300x300.jpg,affiliate,Planet Zoo,287.0,False,365,4.92326300781743,-0.9778483415056567,0.20931464596304888
153,19,0.0026666666666666,0.3300138953219083,0.0008278044959971,0.0188810643846036,0.0002367469767469,0.0935672514619883,17,0,61573865,3886,True,3615,False,153,AwakenedOne,2014-04-25,https://static-cdn.jtvnw.net/jtv_user_pictures/7d35dc57-29a8-459d-9048-4466624ffbe7-profile_image-300x300.jpg,affiliate,Napoleon: Total War,115.0,False,365,1.9624195205985555,0.9242907221930933,-0.3816892202666588
397,9,0.0012631578947368,0.2859378762340476,4.373503944833524e-05,0.0047238277782398,0.000121759921992,0.0555555555555555,2,0,171688860,2666,True,46546,False,397,CharlotteSomething,2017-08-27,https://static-cdn.jtvnw.net/jtv_user_pictures/c20a61ed-6883-4202-b02d-4b47dacdd9f3-profile_image-300x300.png,affiliate,Food & Drink,239.0,False,365,4.096981104407511,-0.8165380514459157,-0.5772916165517278
5623,3,0.0004210526315789,0.2614870816206694,4.181831410120745e-06,0.0008553302364852,5.231709731225295e-05,0.0,3,0,117338954,3211,True,5863,False,5623,Mochi_Green_Tea,2016-02-29,https://static-cdn.jtvnw.net/user-default-pictures-uv/13e5fa74-defa-11e9-809c-784f43822e80-profile_image-300x300.png,affiliate,,60.0,True,366,1.0128632052557256,0.8483511978123038,0.5294338912181853
5875,2,0.0002807017543859,0.2945553764107652,3.04830612553346e-05,0.0064325381121852,5.5278797693840434e-05,0.0,4,1,135804217,2996,True,5594,False,5875,onewithtehforce,2016-10-01,https://static-cdn.jtvnw.net/jtv_user_pictures/137e8d80-a48a-4705-b890-27ff0fb59854-profile_image-300x300.png,affiliate,Minecraft,275.0,True,366,4.703805393899472,-0.9999631612477099,-0.008583481082086734
3346,2,0.0002807017543859,0.2532612945651015,1.459536506813073e-06,0.0007439969538878,4.724826918090999e-05,0.0,4,0,50273956,4076,False,4594,False,3346,Aletdownofstate,2013-10-17,https://static-cdn.jtvnw.net/jtv_user_pictures/56453e70-bca9-484f-b99e-3d27b537f7fe-profile_image-300x300.png,affiliate,Titanfall 2,290.0,False,365,4.974905626780549,-0.965739937654855,0.25951179706979943
6930,14,0.0019649122807017,0.3462772161741835,0.0004106922501721,0.0265104833742744,0.0001763328018224,0.1538461538461538,19,0,40189534,4325,False,18460,False,6930,SkittlesRandom,2013-02-10,https://static-cdn.jtvnw.net/jtv_user_pictures/skittlesrandom-profile_image-b9296d379df6c7a8-300x300.png,affiliate,The Good Life,41.0,False,365,0.6885682528415985,0.6354323008901774,0.7721565844991642
6367,3,0.0004210526315789,0.2451486374896779,1.1760295746988047e-05,0.000366742478688,6.1176535954896e-05,0.3333333333333333,19,0,126853728,3104,True,204,False,6367,ShadowScissors_,2016-06-15,https://static-cdn.jtvnw.net/jtv_user_pictures/80c45eef-c3a1-4d98-9b5e-8e208fc473e9-profile_image-300x300.png,non_Streamer,TEKKEN 8,167.0,True,366,2.849750713092381,0.2877167672261668,-0.9577155432887804
1434,4,0.0005614035087719,0.2875650805182225,3.848336422265071e-05,0.0040630407588072,7.007901204181254e-05,0.1666666666666666,6,0,118869338,3195,True,1064,False,1434,lemonlimepickle,2016-03-16,https://static-cdn.jtvnw.net/jtv_user_pictures/3c294631-607e-438d-9b67-52d469c16374-profile_image-300x300.png,affiliate,,76.0,True,366,1.287537972782702,0.9601498736716018,0.2794856348516095
4470,9,0.0012631578947368,0.3299527646568491,0.0002044694918824,0.0187506235563251,0.0001209662097201,0.3333333333333333,2,0,115599547,3228,False,313084,False,4470,S1MPAGG,2016-02-12,https://static-cdn.jtvnw.net/jtv_user_pictures/e44bef09-95c7-450a-ba37-2f86fed18bd2-profile_image-300x300.jpg,affiliate,Counter-Strike,43.0,True,366,0.7210212647583132,0.6601521206712317,0.7511319308705199
