node,degree,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,pagerank_centrality,clustering_coef,louvain_community,lp_community,id,days,mature,views,partner,new_id,username,created_at,profile_pic,broadcaster_type,game_name,day_of_year,is_leap,days_in_year,normalized_day,sin_created_at,cos_created_at
3558,14,0.0030126963632451,0.3644134253450439,0.0001341573434956,0.0053558751335275,0.0001386504630147,0.0879120879120879,0,0,68458707,3778,False,4405,False,3558,Artax3d,2014-08-08,https://static-cdn.jtvnw.net/jtv_user_pictures/f82daef3-35ac-4dbe-a88c-6046a0a5271c-profile_image-300x300.png,affiliate,Destiny 2,220.0,False,365,3.769911184307752,-0.5877852522924734,-0.8090169943749472
3372,107,0.0230256079190875,0.3909641595153962,0.0010389810027986,0.0249073020131424,0.0007968942793781,0.0571327808146711,1,0,133928858,3020,False,164810,True,3372,Leviathan,2016-09-04,https://static-cdn.jtvnw.net/jtv_user_pictures/cb80f6c0-7e71-4610-80a8-220c6db974f6-profile_image-300x300.png,partner,VALORANT,248.0,True,366,4.240291723697699,-0.8906165093267404,-0.45475513555610575
818,12,0.0025823111684958,0.3267932489451476,1.135088112131592e-06,0.0028017179599632,0.0001054589870932,0.6363636363636364,2,1,46892468,4151,False,4953,False,818,titosan05,2013-07-31,https://static-cdn.jtvnw.net/jtv_user_pictures/881943f1-7fe2-4ebc-b1d0-ec4c87a3d55b-profile_image-300x300.png,affiliate,BioShock Remastered,212.0,False,365,3.6321975337394323,-0.47115950767386394,-0.8820480249558535
236,9,0.0019367333763718,0.3485860025504463,3.849061982595371e-05,0.0039799634647127,9.745622047566315e-05,0.2777777777777778,1,0,128745923,3080,True,12262,False,236,Zombo_Land,2016-07-06,https://static-cdn.jtvnw.net/jtv_user_pictures/21561b6d-9619-4b59-85c9-9aa6b982b826-profile_image-300x300.png,affiliate,Hunt: Showdown 1896,188.0,True,366,3.2102613454715376,-0.06861473800213432,-0.9976432316860063
2255,6,0.0012911555842479,0.3145177664974619,3.064055323554954e-05,0.0010389216935544,8.918307455607086e-05,0.0666666666666666,3,1,84422595,3569,False,4937,False,2255,Ciisarro,2015-03-05,https://static-cdn.jtvnw.net/jtv_user_pictures/22fb3263-1fa7-4d05-9319-69b156be7329-profile_image-300x300.png,affiliate,Chatventures,64.0,False,365,1.0844949982255176,0.8840675099433636,0.4673592171580022
663,8,0.0017215407789972,0.3289911504424779,0.0001032843526639,0.0022723178599508,0.0001047673458837,0.1785714285714285,2,0,53625989,4008,False,2802,False,663,Juanjel,2013-12-21,https://static-cdn.jtvnw.net/jtv_user_pictures/juanjel-profile_image-0e97bb7f455ce78c-300x300.jpeg,affiliate,Retro,355.0,False,365,6.093829037648147,-0.1882267098432439,0.9821256058680006
1444,128,0.0275446524639552,0.4306366416458159,0.0034028748394205,0.0343301009150923,0.0009492620181197,0.1140501968503937,4,1,115075667,3230,True,199491,True,1444,Kimeralas,2016-02-07,https://static-cdn.jtvnw.net/jtv_user_pictures/b021e396-ca69-425d-b0de-2c1e8a45d84e-profile_image-300x300.png,affiliate,Cities: Skylines II,38.0,True,366,0.6351853999061331,0.593326764377232,0.8049617075821959
1784,129,0.0277598450613298,0.3964340556219075,0.001261222627517,0.0413455135012788,0.0008636028085494,0.1265746124031007,3,1,124660888,3127,False,208895,True,1784,Mishi_Chwan,2016-05-20,https://static-cdn.jtvnw.net/jtv_user_pictures/1d02155b-7ad8-4f3e-9c42-2b03c6dd62fa-profile_image-300x300.png,non_Streamer,Stray,141.0,True,366,2.403404215861044,0.672949024155833,-0.7396888608649667
961,13,0.0027975037658704,0.3800916080484214,1.6902810554755424e-05,0.0084729656844571,0.0001173784235756,0.3461538461538461,4,0,116156098,3220,False,341,False,961,chinchuu07,2016-02-17,https://static-cdn.jtvnw.net/jtv_user_pictures/82d527d5-1590-4464-b9b5-ad6a32969a46-profile_image-300x300.png,non_Streamer,Slots,48.0,True,366,0.8068571296104934,0.7221165966101162,0.6917713646142218
785,13,0.0027975037658704,0.3627917870247482,0.0001156579226421,0.0047214871226851,0.0001333519927911,0.2179487179487179,5,0,67159400,3793,False,28421,False,785,iNnFeR,2014-07-24,https://static-cdn.jtvnw.net/jtv_user_pictures/4cbdfac6-87b5-484e-b31c-b495f322e021-profile_image-300x300.png,affiliate,Call of Duty: Black Ops 6,205.0,False,365,3.5116980894921523,-0.3617137307297674,-0.9322892131745134
