node,degree,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,pagerank_centrality,views,partner,mature,days,clustering_coef
2161,2008,0.3138480775242263,0.5739179540849196,0.10162472844046795,0.21609676275431705,0.008588703119046871,44374644,True,True,2027,0.014632054740678541
771,1664,0.260081275398562,0.5467147930168972,0.07617211224551912,0.16646462547924393,0.007150206682288197,17166188,True,False,2419,0.016260291872889587
5968,1636,0.2557049077836824,0.5451290309487711,0.061524481099479215,0.17656417996087864,0.007028626589023155,42801507,True,False,610,0.014308786254233867
5511,1468,0.2294467020944045,0.5291927536879084,0.05783031398968976,0.1464797743948417,0.006801981578483469,44534929,True,False,2613,0.014472806836692428
5543,1191,0.18615192247577367,0.514949028993593,0.037575038511640485,0.12362267686611511,0.005305324976514955,4890741,True,False,1783,0.013990079659067657
6420,1175,0.18365114098155672,0.5245876775947372,0.04028687819508989,0.13089315265046417,0.004912164408360351,62713570,True,False,1311,0.01874660190655696
1020,1164,0.18193185370428258,0.5105467002861533,0.03694100954120843,0.12173133771679216,0.005019439156854775,22400233,True,True,2480,0.01621000316163022
5310,1136,0.17755548608940291,0.5245876775947372,0.03116822879763183,0.15171047484079486,0.004526930677322636,9194058,True,True,2853,0.031099149965874543
2650,1074,0.16786495779931226,0.513913664209546,0.02566808571379144,0.127833898820526,0.004606214846278837,5875963,True,False,1261,0.021364072606607765
4717,1052,0.16442638324476397,0.4998046539524047,0.025836723087240925,0.10919277087496294,0.004646860634187293,9563377,True,False,2312,0.013771059971853713
2560,1051,0.16427008440137542,0.507666838864026,0.03804831798086534,0.10073793464622767,0.0048153907533757005,5760863,True,False,3530,0.014917312310271397
2043,792,0.12378868396373865,0.495617971052625,0.018207979864641646,0.0912391044518887,0.0033708312731759696,1075962,True,False,746,0.022005772005772004
2367,748,0.11691153485464206,0.4796578967708673,0.015195029994280037,0.08343983943624951,0.0030540167692646686,4770793,True,False,1299,0.016798029909298514
5208,739,0.11550484526414503,0.5038639410803891,0.017155480763797998,0.10124442498128064,0.0029342980071220734,2541300,True,True,2064,0.039011188488068914
1751,734,0.11472335104720224,0.48969288840382363,0.011511574681013017,0.09429449630657911,0.003057230299945469,38404078,True,False,2075,0.02644501525959905
3857,689,0.1076899030947171,0.4835416194310628,0.00892250090025882,0.0825476778605466,0.002947189010294748,3234259,True,False,1261,0.02345833192695852
3935,675,0.10550171928727727,0.4591508587182219,0.011775859888605512,0.06593092945188975,0.00266160086166075,10072725,True,False,723,0.023272887130453897
612,668,0.10440762738355736,0.4830298964987145,0.012493003159838008,0.08002841967264691,0.0028030226245008144,10736104,True,False,2015,0.029118674195836212
3459,643,0.10050015629884339,0.47263332106371997,0.012876630468518498,0.07012566344533706,0.0027816895794297056,108432615,True,False,1479,0.020338851663977753
1284,607,0.09487339793685526,0.48230073973745147,0.007444467355248224,0.08352097526903396,0.0025512621060578204,4592052,True,False,2335,0.038880823831971334
3550,596,0.09315411065958111,0.47672355272914757,0.012256223692810023,0.06333760558270601,0.002500829973823561,5494018,True,False,2607,0.027296824770176528
1025,580,0.09065332916536417,0.45031730097121175,0.011888577309961745,0.05157138122397387,0.0025208296682915853,502677,True,False,1531,0.016091954022988506
6148,574,0.08971553610503281,0.47690144792756883,0.00963105668418675,0.07501285344883035,0.0023918513418700106,4109573,True,False,2027,0.030130555606229213
5554,560,0.087527352297593,0.48548871757950873,0.014224362633123645,0.06796044696714078,0.0024986537807388204,7941991,True,False,1205,0.02795169946332737
1824,558,0.08721475461081588,0.47270324757963417,0.006393592969627365,0.07210199157266639,0.0021577069850520513,6320764,True,True,2347,0.034317226823163
