id,days,mature,views,partner,new_id,username,created_at,profile_pic,broadcaster_type,game_name
44891403,1943,False,929459,True,1706,CopaAmerica_pt2,2013-06-17,https://static-cdn.jtvnw.net/jtv_user_pictures/d240dd65-3305-4fe2-9e92-0c63e01c93dc-profile_image-300x300.png,affiliate,StarCraft II
61180621,1633,False,11194,False,1273,SimbaXp2,2014-04-19,https://static-cdn.jtvnw.net/jtv_user_pictures/simbaxp2-profile_image-a998f475cbec1016-300x300.jpeg,,
145109685,632,False,2850,False,313,canalkeldek,2017-01-17,https://static-cdn.jtvnw.net/jtv_user_pictures/b0a24ab0-90ae-45a6-87c5-bafa009e9adb-profile_image-300x300.png,affiliate,Throne and Liberty
122121521,906,True,3422,False,1570,TiDalto,2016-04-18,https://static-cdn.jtvnw.net/jtv_user_pictures/30e58808-5985-4437-bbb5-8145778e02aa-profile_image-300x300.png,affiliate,FINAL FANTASY XIV ONLINE
189445819,267,False,71,False,800,ChechelEXG,2018-01-07,https://static-cdn.jtvnw.net/jtv_user_pictures/62d64116-2fe1-4d76-8aae-b487f66044e3-profile_image-300x300.png,,Dengeki Bunko: Fighting Climax Ignition
181817228,332,True,11310,False,1869,Carecaaovivo,2017-11-14,https://static-cdn.jtvnw.net/jtv_user_pictures/99b632bf-51dd-4ad2-9084-60543d0e8ef5-profile_image-300x300.png,affiliate,Apex Legends
110511642,1021,True,6929,False,722,ikaynogame,2015-12-26,https://static-cdn.jtvnw.net/jtv_user_pictures/dcee3f0f-8697-4013-bb13-62338a6e5e64-profile_image-300x300.png,affiliate,Infinite Magicraid
59876145,1655,False,4156,False,367,f3ijaotv,2014-03-30,https://static-cdn.jtvnw.net/jtv_user_pictures/00fe0e40-4c80-4104-a0d9-63d088b64e64-profile_image-300x300.png,affiliate,PUBG: BATTLEGROUNDS
39174484,2102,True,117902,False,150,CarletoFromMars,2013-01-09,https://static-cdn.jtvnw.net/jtv_user_pictures/f33b3729bfcb72ec-profile_image-300x300.png,affiliate,Warframe
62133251,1622,True,5950,False,474,FilaMSJ,2014-05-04,https://static-cdn.jtvnw.net/jtv_user_pictures/cab701c1-f306-46e1-9cab-ad3044036424-profile_image-300x300.jpg,affiliate,Metaphor: ReFantazio
