node,degree,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,pagerank_centrality,clustering_coef,louvain_community,lp_community,id,days,mature,views,partner,new_id,username,created_at,profile_pic,broadcaster_type,game_name,day_of_year,is_leap,days_in_year,normalized_day,sin_created_at,cos_created_at
1706,82,0.0429094714809,0.4312796208530806,0.0023597663889228,0.0181230252648593,0.0013250244979397,0.1041854862993074,0,0,44891403,4195,False,929459,True,1706,CopaAmerica_pt2,2013-06-17,https://static-cdn.jtvnw.net/jtv_user_pictures/d240dd65-3305-4fe2-9e92-0c63e01c93dc-profile_image-300x300.png,affiliate,StarCraft II,168.0,False,365,2.874772455613674,0.26366549272800704,-0.9646141756912435
1273,8,0.0041862899005756,0.3704206241519674,7.095286108781794e-06,0.0030149501234602,0.0001810450285944,0.3214285714285714,1,0,61180621,3889,False,11194,False,1273,SimbaXp2,2014-04-19,https://static-cdn.jtvnw.net/jtv_user_pictures/simbaxp2-profile_image-a998f475cbec1016-300x300.jpeg,non_Streamer,,109.0,False,365,1.8591342826723158,0.9587178169872964,-0.2843591872810034
313,16,0.0083725798011512,0.4183450087565674,3.123669415521303e-06,0.0130244575232615,0.0002694437052936,0.6083333333333333,2,0,145109685,2885,False,2850,False,313,canalkeldek,2017-01-17,https://static-cdn.jtvnw.net/jtv_user_pictures/b0a24ab0-90ae-45a6-87c5-bafa009e9adb-profile_image-300x300.png,affiliate,Throne and Liberty,17.0,False,365,0.2754273011366394,0.2719581575341055,0.9623090774541486
1570,8,0.0041862899005756,0.4172489082969432,5.574692629236508e-05,0.004507221628621,0.0001899979418114,0.2857142857142857,3,0,122121521,3159,True,3422,False,1570,TiDalto,2016-04-18,https://static-cdn.jtvnw.net/jtv_user_pictures/30e58808-5985-4437-bbb5-8145778e02aa-profile_image-300x300.png,affiliate,FINAL FANTASY XIV ONLINE,109.0,True,366,1.854054680807091,0.9601498736716018,-0.2794856348516094
800,2,0.0010465724751439,0.320530023482053,4.816067369022553e-06,0.0003217681923395,0.0001132798624194,0.0,3,0,189445819,2530,False,71,False,800,ChechelEXG,2018-01-07,https://static-cdn.jtvnw.net/jtv_user_pictures/62d64116-2fe1-4d76-8aae-b487f66044e3-profile_image-300x300.png,non_Streamer,Dengeki Bunko: Fighting Climax Ignition,7.0,False,365,0.10328523792623977,0.10310169744743485,0.9946708199115211
1869,22,0.0115122972265829,0.4226940942269409,0.0013046916586409,0.0117949061969395,0.0004284336334319,0.303030303030303,2,0,181817228,2584,True,11310,False,1869,Carecaaovivo,2017-11-14,https://static-cdn.jtvnw.net/jtv_user_pictures/99b632bf-51dd-4ad2-9084-60543d0e8ef5-profile_image-300x300.png,affiliate,Apex Legends,318.0,False,365,5.456903403769668,-0.7354170229639858,0.6776147890466887
722,1,0.0005232862375719,0.3321167883211678,0.0,0.0007532303098266,9.000947685652024e-05,0.0,4,0,110511642,3273,True,6929,False,722,ikaynogame,2015-12-26,https://static-cdn.jtvnw.net/jtv_user_pictures/dcee3f0f-8697-4013-bb13-62338a6e5e64-profile_image-300x300.png,affiliate,Infinite Magicraid,360.0,False,365,6.179900069253346,-0.10310169744743544,0.9946708199115211
367,23,0.0120355834641548,0.4279955207166853,1.9079906615042115e-05,0.0162692326101533,0.0003577795239539,0.4980237154150198,2,0,59876145,3909,False,4156,False,367,f3ijaotv,2014-03-30,https://static-cdn.jtvnw.net/jtv_user_pictures/00fe0e40-4c80-4104-a0d9-63d088b64e64-profile_image-300x300.png,affiliate,PUBG: BATTLEGROUNDS,89.0,False,365,1.5148501562515164,0.9984354211555643,0.055916990100603484
150,83,0.043432757718472,0.430502365397612,0.0006262319760002,0.0266468838360358,0.0011053913964525,0.2427270055833088,0,0,39174484,4354,True,117902,False,150,CarletoFromMars,2013-01-09,https://static-cdn.jtvnw.net/jtv_user_pictures/f33b3729bfcb72ec-profile_image-300x300.png,affiliate,Warframe,9.0,False,365,0.1377136505683197,0.13727877211326478,0.9905324521322229
474,5,0.0026164311878597,0.3491048593350384,1.3458856558312444e-05,0.0013047043344524,0.0001528881981385,0.0,4,0,62133251,3874,True,5950,False,474,FilaMSJ,2014-05-04,https://static-cdn.jtvnw.net/jtv_user_pictures/cab701c1-f306-46e1-9cab-ad3044036424-profile_image-300x300.jpg,affiliate,Metaphor: ReFantazio,124.0,False,365,2.1173473774879152,0.854322169749827,-0.5197438121555155
